document,loc_in_doc,tokens,trailing_whitespace,labels
4438,12,kellyharrison@gmail.com,True,B-EMAIL
4438,578,kellyharrison@gmail.com,True,B-EMAIL
4462,4,fdixon,True,B-USERNAME
4462,582,fdixon,True,B-USERNAME
4465,871,lowetyler@hotmail.com,False,B-EMAIL
4717,7,163133980712,True,B-ID_NUM
4717,18,186941941714,False,B-ID_NUM
4777,439,murraythomas@gmail.com,False,B-EMAIL
4777,443,(,False,B-PHONE_NUM
4777,444,223)392,False,I-PHONE_NUM
4777,445,-,False,I-PHONE_NUM
4777,446,2765,False,I-PHONE_NUM
4913,15,159531167997,False,B-ID_NUM
4913,46,159531167997,True,B-ID_NUM
4913,52,046922558887,False,B-ID_NUM
5263,40,vmartinez@hotmail.com,False,B-EMAIL
5397,17,sheena82@yahoo.com,False,B-EMAIL
5653,112,35615904922,False,B-ID_NUM
5662,834,http://chang.com/tagspost.asp,False,B-URL_PERSONAL
5716,1,meyermichelle,False,B-USERNAME
5923,0,https://jones-hernandez.com/main/tag/listindex.htm,False,B-URL_PERSONAL
5923,409,https://jones-hernandez.com/main/tag/listindex.htm,False,B-URL_PERSONAL
6194,26,http://www.miller.org/search/tags/tagsearch.php,False,B-URL_PERSONAL
6243,7,nbarker@hotmail.com,True,B-EMAIL
6243,11,(,False,B-PHONE_NUM
6243,12,820)913,False,I-PHONE_NUM
6243,13,-,False,I-PHONE_NUM
6243,14,3241x894,False,I-PHONE_NUM
6243,438,nbarker@hotmail.com,True,B-EMAIL
6243,442,(,False,B-PHONE_NUM
6243,443,820)913,False,I-PHONE_NUM
6243,444,-,False,I-PHONE_NUM
6243,445,3241x894,False,I-PHONE_NUM
6243,465,nbarker@hotmail.com,True,B-EMAIL
6243,469,(,False,B-PHONE_NUM
6243,470,820)913,False,I-PHONE_NUM
6243,471,-,False,I-PHONE_NUM
6243,472,3241x894,False,I-PHONE_NUM
6257,23,http://mcneil.org/list/taghomepage.htm,False,B-URL_PERSONAL
6257,140,http://mcneil.org/list/taghomepage.htm,False,B-URL_PERSONAL
6426,293,https://www.youtube.com/watch?v=e2D2mFcZzeW,True,B-URL_PERSONAL
6426,295,https://www.youtube.com/watch?v=EnVUhYZvCFr,True,B-URL_PERSONAL
6450,25,141774671173,True,B-ID_NUM
6450,32,747051878431,False,B-ID_NUM
6457,328,https://www.youtube.com/watch?v=tQSdE32O5KE,False,B-URL_PERSONAL
6537,12,779875708882,True,B-ID_NUM
6537,21,800306846075,True,B-ID_NUM
6537,30,955487471144,True,B-ID_NUM
6577,3,johnsondavid@hotmail.com,False,B-EMAIL
6577,634,johnsondavid@hotmail.com,False,B-EMAIL
6591,12,276795361801,False,B-ID_NUM
6591,448,276795361801,False,B-ID_NUM
6611,3,http://mcdonald-pope.com/categorycategory.jsp,True,B-URL_PERSONAL
6611,5,catherine19@hotmail.com,False,B-EMAIL
6849,16,034626995785,False,B-ID_NUM
6853,993,https://www.linkedin.com/in/michael16,False,B-URL_PERSONAL
6900,12,john03@yahoo.com,False,B-EMAIL
6900,469,john03@yahoo.com,False,B-EMAIL
6999,644,VZ:775Y6A5764,False,B-ID_NUM
7000,444,https://ingram-castro.com/tagsmain.html,False,B-URL_PERSONAL
7156,6,DM:705244534902,False,B-ID_NUM
7156,23,132305666219,False,B-ID_NUM
7156,40,789323889085,False,B-ID_NUM
7308,3,lisarose@gmail.com,False,B-EMAIL
7308,5,diazkristen@gmail.com,False,B-EMAIL
7308,7,https://www.facebook.com/amanda37,False,B-URL_PERSONAL
7308,380,lisarose@gmail.com,False,B-EMAIL
7308,382,diazkristen@gmail.com,False,B-EMAIL
7308,384,https://www.facebook.com/amanda37,False,B-URL_PERSONAL
7408,17,https://jones.com/tags/wp-contentpost.html,True,B-URL_PERSONAL
7680,76,http://www.tate.com/,True,B-URL_PERSONAL
7680,413,http://www.melendez.biz/postsabout.html,True,B-URL_PERSONAL
7733,1037,https://www.cuevas.info/blogsearch.html,True,B-URL_PERSONAL
7786,623,jacob59,False,B-USERNAME
8011,645,https://www.linkedin.com/pulmarkkelly,False,B-URL_PERSONAL
8076,189,https://howell-brooks.com/wp-content/mainprivacy.htm,False,B-URL_PERSONAL
8123,461,http://moore.com/explore/tagterms.php,False,B-URL_PERSONAL
8491,462,https://www.fitzgerald-nicholson.com/search/categories/wp-contentlogin.htm,False,B-URL_PERSONAL
8642,4,boydcynthia@yahoo.com,True,B-EMAIL
8642,8,holmespatrick,False,B-USERNAME
8688,375,https://vargas.com/list/exploreauthor.html,False,B-URL_PERSONAL
8714,10,762035863358,False,B-ID_NUM
8909,456,https://youtu.be/bDPejFHJSsT,False,B-URL_PERSONAL
9138,84,https://www.park-baker.com/tags/explore/blogpost.php,False,B-URL_PERSONAL
9358,13,http://hensley.info/exploreabout.jsp,False,B-URL_PERSONAL
9358,479,http://hensley.info/exploreabout.jsp,False,B-URL_PERSONAL
9421,82,http://www.moore.com/,False,B-URL_PERSONAL
9493,457,522233062166,True,B-ID_NUM
9493,526,843756944804,True,B-ID_NUM
9543,25,493950392533,True,B-ID_NUM
9543,32,183169291463,False,B-ID_NUM
9665,482,https://www.bell-kelly.net/tag/tags/categoriesprivacy.htm,True,B-URL_PERSONAL
9801,1014,https://www.brooks.net/exploreprivacy.html,False,B-URL_PERSONAL
9854,3,591,True,B-STREET_ADDRESS
9854,4,Smith,True,I-STREET_ADDRESS
9854,5,Centers,True,I-STREET_ADDRESS
9854,6,Apt,False,I-STREET_ADDRESS
9854,7,.,True,I-STREET_ADDRESS
9854,8,656,False,I-STREET_ADDRESS
9854,9,"
",False,I-STREET_ADDRESS
9854,10,Joshuamouth,False,I-STREET_ADDRESS
9854,11,",",True,I-STREET_ADDRESS
9854,12,RI,True,I-STREET_ADDRESS
9854,13,95963,True,I-STREET_ADDRESS
9854,19,410.526.1667,True,B-PHONE_NUM
9854,644,https://www.youtube.com/watch?v=tIBN9VJ0S4a,True,B-URL_PERSONAL
9892,935,https://www.smith-flores.com/mainlogin.htm,False,B-URL_PERSONAL
9892,937,http://www.jackson.com/categories/search/tagsmain.html,False,B-URL_PERSONAL
9892,939,http://fisher.com/category/wp-contentregister.htm,False,B-URL_PERSONAL
10418,96,https://www.youtube.com/watch?v=B131Tm9Iex1,False,B-URL_PERSONAL
10418,98,http://beck-calhoun.biz/bloghome.jsp,False,B-URL_PERSONAL
10448,195,027693,True,B-ID_NUM
10517,498,ras21,False,B-ID_NUM
10609,499,http://www.chapman-robinson.com/explorelogin.htm,False,B-URL_PERSONAL
10693,1172,https://butler.com/search/wp-content/categorypost.jsp,False,B-URL_PERSONAL
10945,1,pauljohnson@hotmail.com,False,B-EMAIL
10945,3,https://www.price.info/categories/search/tagprivacy.htm,True,B-URL_PERSONAL
10945,549,pauljohnson@hotmail.com,False,B-EMAIL
10945,551,https://www.price.info/categories/search/tagprivacy.htm,True,B-URL_PERSONAL
11049,745,https://www.facebook.com/pamela23,True,B-URL_PERSONAL
11326,810,http://hogan.com/app/categoriesindex.php,False,B-URL_PERSONAL
11428,597,https://www.rice-trevino.org/tag/blogindex.asp,True,B-URL_PERSONAL
11428,600,http://camacho.biz/blog/main/appfaq.jsp,False,B-URL_PERSONAL
11442,150,743,True,B-STREET_ADDRESS
11442,151,Erika,True,I-STREET_ADDRESS
11442,152,Bypass,True,I-STREET_ADDRESS
11442,153,Apt,False,I-STREET_ADDRESS
11442,154,.,True,I-STREET_ADDRESS
11442,155,419,False,I-STREET_ADDRESS
11442,156,"
",False,I-STREET_ADDRESS
11442,157,Andreahaven,False,I-STREET_ADDRESS
11442,158,",",True,I-STREET_ADDRESS
11442,159,IL,True,I-STREET_ADDRESS
11442,160,54207,False,I-STREET_ADDRESS
11849,1400,http://www.daniels.biz/tagssearch.php,False,B-URL_PERSONAL
11900,3,723847538279,False,B-ID_NUM
11900,243,534516353860,False,B-ID_NUM
11900,333,871483046449,False,B-ID_NUM
11900,371,836172426340,False,B-ID_NUM
12043,345,http://osborne.org/main/posts/tagprivacy.asp,False,B-URL_PERSONAL
12043,365,http://thomas.biz/list/taghome.php,False,B-URL_PERSONAL
12055,545,http://www.johnson.com/categories/wp-content/tagabout.html,False,B-URL_PERSONAL
12154,443,http://www.jackson.com/appcategory.html,False,B-URL_PERSONAL
12154,515,https://youtu.be/1pM3sb7AMPs,False,B-URL_PERSONAL
12154,531,https://glenn.org/postsindex.jsp,False,B-URL_PERSONAL
12154,542,https://youtu.be/Kb-hqNGr5lJ,False,B-URL_PERSONAL
12184,6,369615882777,False,B-ID_NUM
12184,325,014674070485,False,B-ID_NUM
12184,389,264945858442,False,B-ID_NUM
12184,430,320622779078,False,B-ID_NUM
12267,648,https://www.johnson.biz/wp-content/appcategory.php,False,B-URL_PERSONAL
12267,994,https://www.johnson.biz/wp-content/appcategory.php,False,B-URL_PERSONAL
12456,405,https://www.youtube.com/watch?v=x5Y6nYsYmtA,False,B-URL_PERSONAL
12456,407,https://www.youtube.com/watch?v=jhw3sb6ZCAZ,False,B-URL_PERSONAL
12465,477,https://www.lopez.com/category/tagprivacy.php,False,B-URL_PERSONAL
12483,6,Weyhacy_7000693584,False,B-ID_NUM
12564,83,https://www.campbell-silva.org/app/tagsauthor.html,False,B-URL_PERSONAL
12564,484,https://www.linkedin.com/feevanessacook,True,B-URL_PERSONAL
12774,290,https://www.williamson.net/wp-contentcategory.php,False,B-URL_PERSONAL
13103,63,https://hernandez.com/exploremain.html,True,B-URL_PERSONAL
13103,66,https://www.roman.info/list/appindex.html,True,B-URL_PERSONAL
13103,144,https://hernandez.com/exploremain.html,True,B-URL_PERSONAL
13103,147,https://www.roman.info/list/appindex.html,False,B-URL_PERSONAL
13103,455,https://hernandez.com/exploremain.html,True,B-URL_PERSONAL
13103,457,https://www.roman.info/list/appindex.html,True,B-URL_PERSONAL
13103,649,https://hernandez.com/exploremain.html,False,B-URL_PERSONAL
13103,651,https://www.roman.info/list/appindex.html,False,B-URL_PERSONAL
15717,365,IV-8322,True,B-ID_NUM
15717,964,IV-8322,True,B-ID_NUM
19280,54,Z.S.,True,B-ID_NUM
19280,55,30407059,False,I-ID_NUM
20984,6,V69230,False,B-ID_NUM
